date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:39	1706/1706	---M--	200	added ('OK')	text/plain	etag:%226aa-5f655d7c7e745%22	https://www.fai.gov/robots.txt		(from )
12:00:39	47410/47410	---MC-	200	added ('OK')	text/html	etag:%221690636770%22	https://www.fai.gov/	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/index.html	(from )
12:00:40	3387/3387	---M--	200	added ('OK')	image/png	etag:%22d3b-5ee153563a540%22	https://www.fai.gov/sites/default/files/favicons/apple-touch-icon.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/apple-touch-icon.png	(from https://www.fai.gov/)
12:00:40	953/953	---M--	200	added ('OK')	image/png	etag:%223b9-5ee153563a540%22	https://www.fai.gov/sites/default/files/favicons/favicon-16x16.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/favicon-16x16.png	(from https://www.fai.gov/)
12:00:40	1606/1606	---M--	200	added ('OK')	image/png	etag:%22646-5ee153572e780%22	https://www.fai.gov/sites/default/files/favicons/favicon-32x32.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/favicon-32x32.png	(from https://www.fai.gov/)
12:00:40	6042/6042	---M--	200	added ('OK')	image/png	etag:%22179a-5ee1535546300%22	https://www.fai.gov/sites/default/files/favicons/android-chrome-36x36.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/android-chrome-36x36.png	(from https://www.fai.gov/)
12:00:41	6331/6331	---M--	200	added ('OK')	image/png	etag:%2218bb-5ee153563a540%22	https://www.fai.gov/sites/default/files/favicons/android-chrome-48x48.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/android-chrome-48x48.png	(from https://www.fai.gov/)
12:00:41	6801/6801	---M--	200	added ('OK')	image/png	etag:%221a91-5ee153563a540%22	https://www.fai.gov/sites/default/files/favicons/android-chrome-72x72.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/android-chrome-72x72.png	(from https://www.fai.gov/)
12:00:41	7287/7287	---M--	200	added ('OK')	image/png	etag:%221c77-5ee153563a540%22	https://www.fai.gov/sites/default/files/favicons/android-chrome-96x96.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/android-chrome-96x96.png	(from https://www.fai.gov/)
12:00:42	8590/8590	---M--	200	added ('OK')	image/png	etag:%22218e-5ee1535546300%22	https://www.fai.gov/sites/default/files/favicons/android-chrome-144x144.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/android-chrome-144x144.png	(from https://www.fai.gov/)
12:00:42	10149/10149	---M--	200	added ('OK')	image/png	etag:%2227a5-5ee1535546300%22	https://www.fai.gov/sites/default/files/favicons/android-chrome-192x192.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/android-chrome-192x192.png	(from https://www.fai.gov/)
12:00:42	12373/12373	---M--	200	added ('OK')	image/png	etag:%223055-5ee1535546300%22	https://www.fai.gov/sites/default/files/favicons/android-chrome-256x256.png	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/android-chrome-256x256.png	(from https://www.fai.gov/)
12:00:42	1288/1288	---M--	200	added ('OK')	text/html	etag:%22508-5ee15358229c0%22	https://www.fai.gov/sites/default/files/favicons/site.webmanifest	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/site.html	(from https://www.fai.gov/)
12:00:43	2069/2069	---M--	200	added ('OK')	image/svg+xml	etag:%22815-5ee15358229c0%22	https://www.fai.gov/sites/default/files/favicons/safari-pinned-tab.svg	C:/Data/FAI_GOV/fai-static-local/fai-static-local/www.fai.gov/sites/default/files/favicons/safari-pinned-tab.svg	(from https://www.fai.gov/)
